"Id","Date","StepTotal","Calories","MinutesVeryActive","MinutesFairlyActive","MinutesLightlyActive","MinutesSedentary","MinutesLowMETs","MinutesLightMETs","MinutesModerateMETs","MinutesVigorousMETS","avgHeartRate","MinutesLevel1","MinutesLevel2","MinutesLevel3","Date_as_date","Weekday"
1503960366,"01/04/2016",12208,1868,47,21,200,1172,1172,105,102,61,NA,283,19,4,2016-04-01,"Fri"
1503960366,"01/05/2016",10602,1854,33,35,246,1126,1126,159,121,34,NA,369,22,5,2016-05-01,"Sun"
1503960366,"02/04/2016",11248,1845,40,11,244,1145,1145,137,108,50,NA,439,58,12,2016-04-02,"Sat"
1503960366,"02/05/2016",14710,2040,41,15,277,1107,1107,144,120,69,NA,277,26,6,2016-05-02,"Mon"
1503960366,"03/04/2016",10016,1854,15,30,314,1081,1081,213,117,29,NA,379,40,7,2016-04-03,"Sun"
1503960366,"03/05/2016",15103,2016,50,24,254,1112,1112,134,126,68,NA,273,20,3,2016-05-03,"Tue"
1503960366,"04/04/2016",14538,2040,43,18,285,1094,1094,160,121,65,NA,294,31,12,2016-04-04,"Mon"
1503960366,"04/05/2016",11100,1843,36,22,203,1179,1179,119,89,53,NA,NA,NA,NA,2016-05-04,"Wed"
1503960366,"05/04/2016",14844,2082,36,18,341,1045,1045,207,125,63,NA,280,24,5,2016-04-05,"Tue"
1503960366,"05/05/2016",14047,1984,45,24,250,1121,1121,134,115,70,NA,247,16,1,2016-05-05,"Thu"
1503960366,"06/04/2016",11974,1860,27,12,228,1173,1173,115,94,58,NA,NA,NA,NA,2016-04-06,"Wed"
1503960366,"06/05/2016",12159,1923,24,6,289,1121,1121,150,120,49,NA,334,31,2,2016-05-06,"Fri"
1503960366,"07/04/2016",10198,1756,17,20,195,1208,1208,98,93,41,NA,NA,NA,NA,2016-04-07,"Thu"
1503960366,"07/05/2016",11992,1845,37,46,175,1182,1182,96,114,48,NA,331,16,2,2016-05-07,"Sat"
1503960366,"08/04/2016",12521,1894,46,22,212,1160,1160,133,80,67,NA,NA,NA,NA,2016-04-08,"Fri"
1503960366,"08/05/2016",10060,1767,44,8,203,1185,1185,114,97,44,NA,594,16,1,2016-05-08,"Sun"
1503960366,"09/04/2016",12432,1888,32,15,248,1145,1145,138,94,63,NA,380,24,3,2016-04-09,"Sat"
