Id,ActivityDate,ActivityHour,Calories
8877689391,30/04/2016,14:00:00,948
8877689391,10/04/2016,11:00:00,933
8877689391,27/03/2016,15:00:00,916
8877689391,27/03/2016,16:00:00,906
8877689391,19/04/2016,16:00:00,886
8877689391,12/03/2016,14:00:00,856
8877689391,23/03/2016,18:00:00,848
8877689391,06/05/2016,14:00:00,843
8877689391,11/05/2016,17:00:00,835
8877689391,20/04/2016,18:00:00,834
8877689391,02/04/2016,16:00:00,826
8877689391,24/04/2016,17:00:00,814
8877689391,04/04/2016,19:00:00,800
8877689391,04/05/2016,17:00:00,789
8877689391,17/03/2016,18:00:00,760
8877689391,14/04/2016,16:00:00,741
8877689391,16/03/2016,18:00:00,734
8877689391,12/04/2016,12:00:00,730
8877689391,27/04/2016,18:00:00,728
8877689391,22/03/2016,18:00:00,716
8877689391,30/03/2016,12:00:00,708
8877689391,16/04/2016,12:00:00,707
8877689391,18/03/2016,17:00:00,707
8877689391,07/05/2016,13:00:00,705
8877689391,15/04/2016,18:00:00,694
8877689391,08/04/2016,16:00:00,687
8378563200,12/04/2016,05:00:00,669
8378563200,13/04/2016,05:00:00,669
8378563200,18/04/2016,05:00:00,669
8378563200,19/04/2016,05:00:00,669
8378563200,20/04/2016,05:00:00,669
8378563200,21/04/2016,05:00:00,669
8378563200,22/04/2016,05:00:00,669
8378563200,25/04/2016,05:00:00,669
8378563200,02/05/2016,05:00:00,669
8378563200,03/05/2016,05:00:00,669
8378563200,05/05/2016,05:00:00,669
8378563200,06/05/2016,05:00:00,669
8378563200,09/05/2016,05:00:00,669
8378563200,10/05/2016,05:00:00,669
8378563200,11/05/2016,05:00:00,669
8877689391,09/05/2016,16:00:00,669
8378563200,14/03/2016,05:00:00,669
8378563200,22/03/2016,05:00:00,669
8378563200,23/03/2016,05:00:00,669
8378563200,24/03/2016,05:00:00,669
8378563200,25/03/2016,05:00:00,669
8378563200,28/03/2016,05:00:00,669
8378563200,29/03/2016,05:00:00,669
8378563200,31/03/2016,05:00:00,669
8378563200,04/04/2016,05:00:00,669
8378563200,05/04/2016,05:00:00,669
8378563200,06/04/2016,05:00:00,669
8378563200,07/04/2016,05:00:00,669
8378563200,08/04/2016,05:00:00,669
8378563200,11/04/2016,05:00:00,669
8877689391,03/04/2016,16:00:00,669
8053475328,13/04/2016,19:00:00,652
8877689391,19/03/2016,14:00:00,651
8053475328,08/05/2016,21:00:00,650
8877689391,23/04/2016,13:00:00,649
8877689391,09/04/2016,15:00:00,647
8053475328,03/04/2016,15:00:00,643
8877689391,22/04/2016,18:00:00,636
7086361926,20/04/2016,17:00:00,635
5577150313,02/04/2016,11:00:00,633
8053475328,11/04/2016,19:00:00,632
8877689391,10/04/2016,12:00:00,632
8877689391,30/04/2016,13:00:00,630
8877689391,06/04/2016,19:00:00,627
8378563200,14/04/2016,05:00:00,617
8877689391,14/03/2016,19:00:00,616
5577150313,16/04/2016,14:00:00,616
8053475328,16/04/2016,19:00:00,612
8877689391,17/04/2016,18:00:00,612
8053475328,13/03/2016,22:00:00,612
8877689391,29/03/2016,12:00:00,612
5577150313,01/04/2016,19:00:00,609
8877689391,07/05/2016,12:00:00,608
8053475328,19/03/2016,14:00:00,602
6290855005,12/03/2016,09:00:00,600
8583815059,09/05/2016,15:00:00,599
7086361926,12/04/2016,17:00:00,597
4388161847,23/04/2016,14:00:00,596
8583815059,27/04/2016,15:00:00,592
7086361926,04/05/2016,17:00:00,592
8877689391,25/04/2016,18:00:00,590
5577150313,30/04/2016,18:00:00,587
8053475328,13/03/2016,20:00:00,586
8053475328,13/03/2016,14:00:00,585
8053475328,04/04/2016,20:00:00,583
7086361926,10/05/2016,17:00:00,579
5577150313,14/04/2016,14:00:00,576
5577150313,02/04/2016,12:00:00,574
8877689391,13/04/2016,18:00:00,574
8053475328,03/04/2016,18:00:00,571
4388161847,08/05/2016,19:00:00,569
8053475328,12/04/2016,19:00:00,567
8378563200,01/05/2016,17:00:00,567
7086361926,27/04/2016,17:00:00,567
8053475328,15/04/2016,19:00:00,566
5577150313,17/04/2016,12:00:00,563
8877689391,21/04/2016,16:00:00,562
8877689391,20/03/2016,17:00:00,561
5577150313,18/04/2016,10:00:00,560
